Filename,Transcription
Sticky Note 1,You can NOT fix her [NOT is underlined]
Sticky Note 2,It gets better trust [neutral face]
Sticky Note 3,Jesus Loves You [small heart]
Sticky Note 4,you got this [heart]
Sticky Note 5,Hope is an act of resistance. We will survive this.
Sticky Note 6,You will get through it! [heart]
Sticky Note 7,[drawing of a flower]
Sticky Note 8,[drawing of a dog]
Sticky Note 9,Kairos. You are loved and taken care of always.
Sticky Note 10,It's all worth it! [heart and smiley face drawing]
Sticky Note 11,Tudo ino tem que compensar!
Sticky Note 12,I believe in you bruh [frog drawing]
Sticky Note 13,Hey aha [person making a red heart with their hands] [small heart]
Sticky Note 14,You Got This!!
Sticky Note 15,LOCK IN!
Sticky Note 16,Go to BED!
Sticky Note 17,the lottery numbers are 3158008
Sticky Note 18,Invest in Bitcoin!
Sticky Note 19,you'll make it !!!
Sticky Note 20,Don't forget to take care of yourself
Sticky Note 21,Don't come to RIT unles ur genius - past
Sticky Note 22,touch some grass + take time for yourself
Sticky Note 23,I love you [heart]
Sticky Note 24,Stay Hydrated!
Sticky Note 25,Keep on bbg [1 big heart and 2 smaller hearts]
Sticky Note 26,[drawing of animal]
Sticky Note 27,you did it -future [leaf drawing]
Sticky Note 28,STAY HAPPY [smiley face]
Sticky Note 29,BRUH [mouse standing]
Sticky Note 30,Don't let drama get to you
Sticky Note 31,never download valorant (or buy valorant credits)
Sticky Note 32,"Dude, You're cooked."
Sticky Note 33,"Do NOT do vulnerability research, get OUTTA CSEC!"
Sticky Note 34,You're so close just keep going!
Sticky Note 35,you're almost there [heart]
Sticky Note 36,relax bro it all works out
Sticky Note 37,don't give up! try again!
Sticky Note 38,Accept life as it is [heart]
Sticky Note 39,you got an awesome internship! GO YOU!
Sticky Note 40,Have fun with it [heart]
Sticky Note 41,go toward where you feel most alive
Sticky Note 42,wake up!
Sticky Note 43,Keep Making Art!
Sticky Note 44,You got this! Keep on drawin'! [drawing of person]
Sticky Note 45,try less [smiley face] [heart]
Sticky Note 46,[face drawing]
Sticky Note 47,- future
Sticky Note 48,You don't need to rush your future
Sticky Note 49,Life does not end when you fail
Sticky Note 50,take more risks. talk about your feelings. graduate on time.
Sticky Note 51,spend time with your friends in the sun!
Sticky Note 52,"work hard, but take some time for yourself!"
Sticky Note 53,"take it easy kid, everything will work out in the end stay frosty [smiley face]"
Sticky Note 54,Don't give up You are so close!
Sticky Note 55,You Got this !!!
Sticky Note 56,"Find the beauty in the moment, it won't always be there."
